szo,hangfajl,hangok.thisRepN,hangok.thisTrialN,hangok.thisN,hangok.thisIndex,inst_text.started,inst_text.stopped,space_inst.started,space_inst.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,text.started,text.stopped,fx_cross.started,fx_cross.stopped,sound_1.started,sound_1.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,text_2.started,text_2.stopped,Résztvevő kódja,Nem,date,expName,psychopyVersion,frameRate,
,,,,,,40.293510287767276,None,48.24771394603886,None,space,300.14650151808746,48.24771394603886,None,,,,,,,,,,,,,pilot4,férfi,2022_Feb_22_1733,alszo_teszt,2021.1.2,59.974408871492166,
gáv,alszo_01,0,0,0,0,,,,,,,,,348.4183371348772,None,354.4519413963426,None,355.45174592852123,358.4556691213511,u,17.014121565036476,355.45970536465757,None,358.4382082785014,None,pilot4,férfi,2022_Feb_22_1733,alszo_teszt,2021.1.2,59.974408871492166,
gyem,alszo_02,0,1,1,1,,,,,,,,,,,372.512937562773,None,373.51778164592105,376.5303001275752,u,5.003591192886233,373.5179631181527,None,376.51106032705866,None,pilot4,férfi,2022_Feb_22_1733,alszo_teszt,2021.1.2,59.974408871492166,
Szan,alszo_03,0,2,2,2,,,,,,,,,,,378.55215269420296,None,379.5556768653216,382.57122703897767,u,7.18895827094093,379.573006618768,None,382.55365796596743,None,pilot4,férfi,2022_Feb_22_1733,alszo_teszt,2021.1.2,59.974408871492166,
dolk,alszo_04,0,3,3,3,,,,,,,,,,,386.7917496794835,None,387.8012448660331,390.8038456584327,u,4.416386501630768,387.8014776543714,None,390.7864983333275,None,pilot4,férfi,2022_Feb_22_1733,alszo_teszt,2021.1.2,59.974408871492166,
zomás,alszo_05,0,4,4,4,,,,,,,,,,,392.25560947018676,None,393.2510984751163,396.2533910602797,u,74.48547941353172,393.25124822487123,None,396.2356201438233,None,pilot4,férfi,2022_Feb_22_1733,alszo_teszt,2021.1.2,59.974408871492166,
galonc,alszo_06,0,5,5,5,,,,,,,,,,,467.76683867396787,None,468.7940427310299,471.8028983324766,u,4.6214437175076455,468.79511259356514,None,471.7855087101925,None,pilot4,férfi,2022_Feb_22_1733,alszo_teszt,2021.1.2,59.974408871492166,
Gabam,alszo_07,0,6,6,6,,,,,,,,,,,473.46230475767516,None,474.500349726784,477.50302578299306,u,149.45978902536444,474.49912047339603,None,477.48557675862685,None,pilot4,férfi,2022_Feb_22_1733,alszo_teszt,2021.1.2,59.974408871492166,
,,,,,,,,,,,,,,,,623.9983115452342,None,,,,,,,,,,,,,,,
