szo,hangfajl,hangok.thisRepN,hangok.thisTrialN,hangok.thisN,hangok.thisIndex,inst_text.started,inst_text.stopped,space_inst.started,space_inst.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,text.started,text.stopped,fx_cross.started,fx_cross.stopped,sound_1.started,sound_1.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,text_2.started,text_2.stopped,Résztvevő kódja,date,expName,psychopyVersion,frameRate,
,,,,,,15.105374007020146,None,23.0565963559784,None,space,11.816332573071122,23.0565963559784,None,,,,,,,,,,,,,450749,2022_Mar_24_1444,alszo_teszt,2021.1.2,58.77656289110832,
gáv,alszo_01,0,0,0,0,,,,,,,,,34.906976686324924,None,40.92395173665136,None,41.91223919740878,44.92606813646853,u,4.240893571637571,41.91189401131123,None,44.887363677844405,None,450749,2022_Mar_24_1444,alszo_teszt,2021.1.2,58.77656289110832,
gyem,alszo_02,0,1,1,1,,,,,,,,,,,46.18341644434258,None,47.18618965917267,50.19518400076777,u,8.10216441936791,47.18606528732926,None,50.160690882243216,None,450749,2022_Mar_24_1444,alszo_teszt,2021.1.2,58.77656289110832,
Szan,alszo_03,0,2,2,2,,,,,,,,,,,55.31528759049252,None,56.32857034006156,59.34391045989469,u,3.759939615149051,56.32863350538537,None,59.30696287751198,None,450749,2022_Mar_24_1444,alszo_teszt,2021.1.2,58.77656289110832,
dolk,alszo_04,0,3,3,3,,,,,,,,,,,60.11561669781804,None,61.122473428724334,64.1282239719294,u,4.005882689729333,61.122304583434016,None,64.09409690834582,None,450749,2022_Mar_24_1444,alszo_teszt,2021.1.2,58.77656289110832,
zomás,alszo_05,0,4,4,4,,,,,,,,,,,65.14883375633508,None,66.15689377184026,69.16149327903986,u,3.883078007027507,66.15697777457535,None,69.12722843978554,None,450749,2022_Mar_24_1444,alszo_teszt,2021.1.2,58.77656289110832,
galonc,alszo_06,0,5,5,5,,,,,,,,,,,70.065380115062,None,71.0774297232274,74.07814040454105,u,3.9874707888811827,71.07704317290336,None,74.06008864892647,None,450749,2022_Mar_24_1444,alszo_teszt,2021.1.2,58.77656289110832,
Gabam,alszo_07,0,6,6,6,,,,,,,,,,,75.10007103346288,None,76.10077698738314,79.11441341321915,u,4.404076239094138,76.10047472035512,None,79.08045926922932,None,450749,2022_Mar_24_1444,alszo_teszt,2021.1.2,58.77656289110832,
ardul,alszo_08,0,7,7,7,,,,,,,,,,,80.54073439817876,None,81.55315565899946,84.56007745303214,u,3.7672607097774744,81.55300640733913,None,84.52367288805544,None,450749,2022_Mar_24_1444,alszo_teszt,2021.1.2,58.77656289110832,
tarembik,alszo_09,0,8,8,8,,,,,,,,,,,85.34762761043385,None,86.35438139853068,89.36044605774805,u,4.757496969308704,86.35426480183378,None,89.32592837000266,None,450749,2022_Mar_24_1444,alszo_teszt,2021.1.2,58.77656289110832,
cselika,alszo_10,0,9,9,9,,,,,,,,,,,91.1413108180277,None,92.1472562996205,95.16167304106057,u,3.9569119038060308,92.14687939081341,None,95.12708382168785,None,450749,2022_Mar_24_1444,alszo_teszt,2021.1.2,58.77656289110832,
hübedin,alszo_11,0,10,10,10,,,,,,,,,,,96.13550774613395,None,97.13517182762735,100.14347324660048,u,3.7050230051390827,97.13519518449903,None,100.1098325974308,None,450749,2022_Mar_24_1444,alszo_teszt,2021.1.2,58.77656289110832,
vazóga,alszo_12,0,11,11,11,,,,,,,,,,,100.8722770595923,None,101.87633224320598,104.8835006649606,u,3.859333587810397,101.87639292050153,None,104.84737507300451,None,450749,2022_Mar_24_1444,alszo_teszt,2021.1.2,58.77656289110832,
tipebanér,alszo_13,0,12,12,12,,,,,,,,,,,105.76099174981937,None,106.76766125508584,109.77857699524611,u,4.440131854265928,106.76763236243278,None,109.74465270806104,None,450749,2022_Mar_24_1444,alszo_teszt,2021.1.2,58.77656289110832,
limefürék,alszo_14,0,13,13,13,,,,,,,,,,,111.23927353834733,None,112.25262408680283,115.26178699405864,u,4.250995998736471,112.2530069667846,None,115.22552238218486,None,450749,2022_Mar_24_1444,alszo_teszt,2021.1.2,58.77656289110832,
serkápanta,alszo_15,0,14,14,14,,,,,,,,,,,116.53639896633103,None,117.5426408376079,120.54476379975677,u,4.673945982940495,117.54193146247417,None,120.52725723898038,None,450749,2022_Mar_24_1444,alszo_teszt,2021.1.2,58.77656289110832,
berszidelén,alszo_16,0,15,15,15,,,,,,,,,,,122.25426903180778,None,123.25926190032624,126.26222582394257,u,4.237172688823193,123.25878080399707,None,126.24512108415365,None,450749,2022_Mar_24_1444,alszo_teszt,2021.1.2,58.77656289110832,
hápamarogány,alszo_17,0,16,16,16,,,,,,,,,,,127.53094484424219,None,128.52886293479241,131.54586476273835,u,5.63890704838559,128.52847762871534,None,131.51055649621412,None,450749,2022_Mar_24_1444,alszo_teszt,2021.1.2,58.77656289110832,
gyilonitora,alszo_18,0,17,17,17,,,,,,,,,,,134.20858029834926,None,135.22443227260374,138.2294062320143,u,4.190960531588644,135.2246042904444,None,138.19529658509418,None,450749,2022_Mar_24_1444,alszo_teszt,2021.1.2,58.77656289110832,
tesilbengecsék,alszo_19,0,18,18,18,,,,,,,,,,,139.44026061100885,None,140.44175278930925,143.44555954122916,u,4.605939728207886,140.44132456416264,None,143.41088386205956,None,450749,2022_Mar_24_1444,alszo_teszt,2021.1.2,58.77656289110832,
fortiklempelesz,alszo_20,0,19,19,19,,,,,,,,,,,145.07472461881116,None,146.08367442456074,149.09582268353552,u,4.851810026913881,146.083541655913,None,149.0603551818058,None,450749,2022_Mar_24_1444,alszo_teszt,2021.1.2,58.77656289110832,
