szo,hangfajl,hangok.thisRepN,hangok.thisTrialN,hangok.thisN,hangok.thisIndex,inst_text.started,inst_text.stopped,space_inst.started,space_inst.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,text.started,text.stopped,fx_cross.started,fx_cross.stopped,sound_1.started,sound_1.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,text_2.started,text_2.stopped,kosznojuk.started,kosznojuk.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,Résztvevő kódja,date,expName,psychopyVersion,frameRate,
,,,,,,8.930561965797096,None,16.90094409463927,None,space,38.22118359524757,16.90094409463927,None,,,,,,,,,,,,,,,,,,,808485,2022_Apr_27_1523,alszo_teszt,2021.1.2,60.000970360683574,
gáv,alszo_01,0,0,0,0,,,,,,,,,55.15255822381005,None,61.18761966028251,None,62.1621100431541,65.16442564991303,u,4.079732695128769,62.16215218487196,None,65.14688171399757,None,,,,,,,808485,2022_Apr_27_1523,alszo_teszt,2021.1.2,60.000970360683574,
gyem,alszo_02,0,1,1,1,,,,,,,,,,,66.28400245588273,None,67.27863866409753,70.29074883158319,u,3.2517578147817403,67.27812721207738,None,70.25272722542286,None,,,,,,,808485,2022_Apr_27_1523,alszo_teszt,2021.1.2,60.000970360683574,
Szan,alszo_03,0,2,2,2,,,,,,,,,,,70.55720548518002,None,71.56206917685923,None,u,2.760081931948662,71.56186873256229,None,None,None,,,,,,,808485,2022_Apr_27_1523,alszo_teszt,2021.1.2,60.000970360683574,
dolk,alszo_04,0,3,3,3,,,,,,,,,,,74.34624657430686,None,75.36232582030352,78.3652139918413,u,5.104162027360871,75.36192881921306,None,78.3475027338136,None,,,,,,,808485,2022_Apr_27_1523,alszo_teszt,2021.1.2,60.000970360683574,
zomás,alszo_05,0,4,4,4,,,,,,,,,,,80.49855879112147,None,81.49948917019647,84.51608064561151,u,3.2377291969023645,81.50000062212348,None,84.4806954502128,None,,,,,,,808485,2022_Apr_27_1523,alszo_teszt,2021.1.2,60.000970360683574,
galonc,alszo_06,0,5,5,5,,,,,,,,,,,84.78085288242437,None,85.79085193055217,88.7980248532258,u,3.219460924388841,85.79026614781469,None,88.76317210285924,None,,,,,,,808485,2022_Apr_27_1523,alszo_teszt,2021.1.2,60.000970360683574,
Gabam,alszo_07,0,6,6,6,,,,,,,,,,,89.03634029952809,None,90.04079470520374,93.04824722371995,u,3.2734894673340023,90.04024686547928,None,93.01264743320644,None,,,,,,,808485,2022_Apr_27_1523,alszo_teszt,2021.1.2,60.000970360683574,
ardul,alszo_08,0,7,7,7,,,,,,,,,,,93.34561367402785,None,94.34520951954183,97.34718457306735,u,3.3365167030133307,94.34519474674016,None,97.32901955489069,None,,,,,,,808485,2022_Apr_27_1523,alszo_teszt,2021.1.2,60.000970360683574,
tarembik,alszo_09,0,8,8,8,,,,,,,,,,,97.71678999159485,None,98.72844515524339,101.73128107748926,u,3.8338815360330045,98.72804846498184,None,101.7144409515895,None,,,,,,,808485,2022_Apr_27_1523,alszo_teszt,2021.1.2,60.000970360683574,
cselika,alszo_10,0,9,9,9,,,,,,,,,,,102.5994157413952,None,103.59603866578546,106.60796938207932,u,3.014359840657562,103.5952367328573,None,106.57050479017198,None,,,,,,,808485,2022_Apr_27_1523,alszo_teszt,2021.1.2,60.000970360683574,
hübedin,alszo_11,0,10,10,10,,,,,,,,,,,106.65245341416448,None,107.66167960891035,110.66259537055157,u,3.7325857542455196,107.66154354298487,None,110.64493698370643,None,,,,,,,808485,2022_Apr_27_1523,alszo_teszt,2021.1.2,60.000970360683574,
vazóga,alszo_12,0,11,11,11,,,,,,,,,,,111.42862190073356,None,112.42797951463145,115.43089038971812,u,3.8130197713617235,112.42847666027956,None,115.41356104891747,None,,,,,,,808485,2022_Apr_27_1523,alszo_teszt,2021.1.2,60.000970360683574,
tipebanér,alszo_13,0,12,12,12,,,,,,,,,,,116.26487175934017,None,117.27820294250269,120.28109951131046,u,3.6514560128562152,117.27801276138052,None,120.26356957061216,None,,,,,,,808485,2022_Apr_27_1523,alszo_teszt,2021.1.2,60.000970360683574,
limefürék,alszo_14,0,13,13,13,,,,,,,,,,,120.9684333554469,None,121.97824331133161,124.9806307607796,u,3.4633073289878666,121.97830660128966,None,124.96294500515796,None,,,,,,,808485,2022_Apr_27_1523,alszo_teszt,2021.1.2,60.000970360683574,
serkápanta,alszo_15,0,14,14,14,,,,,,,,,,,125.46575869061053,None,126.47874932053965,129.48026905884035,u,3.5383416330441833,126.47919794893824,None,129.46204930357635,None,,,,,,,808485,2022_Apr_27_1523,alszo_teszt,2021.1.2,60.000970360683574,
berszidelén,alszo_16,0,15,15,15,,,,,,,,,,,130.04816636187024,None,131.0617161832517,134.06344056478702,u,3.6757587653119117,131.06158540467732,None,134.0457274406217,None,,,,,,,808485,2022_Apr_27_1523,alszo_teszt,2021.1.2,60.000970360683574,
hápamarogány,alszo_17,0,16,16,16,,,,,,,,,,,134.78051015199162,None,135.7920122998068,138.80728914635256,u,3.4579020177479833,135.79140008147806,None,138.76901437994093,None,,,,,,,808485,2022_Apr_27_1523,alszo_teszt,2021.1.2,60.000970360683574,
gyilonitora,alszo_18,0,17,17,17,,,,,,,,,,,139.27818972454406,None,140.27801229471805,None,u,2.6030775441322476,140.27820496400818,None,None,None,,,,,,,808485,2022_Apr_27_1523,alszo_teszt,2021.1.2,60.000970360683574,
tesilbengecsék,alszo_19,0,18,18,18,,,,,,,,,,,142.90086074452847,None,143.91142644865903,146.92772806505673,u,3.866164742037654,143.91129846917465,None,146.88915784144774,None,,,,,,,808485,2022_Apr_27_1523,alszo_teszt,2021.1.2,60.000970360683574,
fortiklempelesz,alszo_20,0,19,19,19,,,,,,,,,,,147.8042325640563,None,148.81451805022078,151.83100938121788,u,4.050845691701397,148.81455179466866,None,151.79630280449055,None,,,,,,,808485,2022_Apr_27_1523,alszo_teszt,2021.1.2,60.000970360683574,
abalamofálsag,alszo_21,0,20,20,20,,,,,,,,,,,152.88915006630123,None,153.8945629970869,156.89582864241675,u,4.698792606592178,153.89437126088887,None,156.87713086837903,None,,,,,,,808485,2022_Apr_27_1523,alszo_teszt,2021.1.2,60.000970360683574,
sémernyegvőterec,alszo_22,0,21,21,21,,,,,,,,,,,158.6322077556979,None,159.6446684286231,162.6461657746695,u,4.853172712493688,159.64425307814963,None,162.6281910929829,None,,,,,,,808485,2022_Apr_27_1523,alszo_teszt,2021.1.2,60.000970360683574,
hulukatánatalm,alszo_23,0,22,22,22,,,,,,,,,,,164.53309213672765,None,165.54489502885843,168.54819341935217,u,4.424808948067948,165.5443142221775,None,168.5310276686214,None,,,,,,,808485,2022_Apr_27_1523,alszo_teszt,2021.1.2,60.000970360683574,
innécsésziderszil,alszo_24,0,23,23,23,,,,,,,,,,,170.0027449526824,None,171.01172856141346,174.0126906633377,u,4.445264225592837,171.011760128662,None,173.99481426016428,None,,,,,,,808485,2022_Apr_27_1523,alszo_teszt,2021.1.2,60.000970360683574,
dögeliztetmereni,alszo_25,0,24,24,24,,,,,,,,,,,175.49877089820802,None,176.51112878331912,179.51337394677103,u,4.101911887759343,176.5233887010254,None,179.51337394677103,None,,,,,,,808485,2022_Apr_27_1523,alszo_teszt,2021.1.2,60.000970360683574,
kusztenirselemenég,alszo_26,0,25,25,25,,,,,,,,,,,180.66523364768364,None,181.67776725194415,184.68068388081156,u,4.7090219559613615,181.67591769015417,None,184.6630320250988,None,,,,,,,808485,2022_Apr_27_1523,alszo_teszt,2021.1.2,60.000970360683574,
intogszocolarásu,alszo_27,0,26,26,26,,,,,,,,,,,186.42411633441225,None,187.44435794986782,190.4621553570032,u,5.111903316574171,187.44899258436635,None,190.44457534421235,None,,,,,,,808485,2022_Apr_27_1523,alszo_teszt,2021.1.2,60.000970360683574,
töminégeveltemérg,alszo_28,0,27,27,27,,,,,,,,,,,192.59921669657342,None,193.62752646985462,196.6312234166544,u,6.032263923669234,193.63283039280213,None,196.61436463030986,None,,,,,,,808485,2022_Apr_27_1523,alszo_teszt,2021.1.2,60.000970360683574,
igyótanumazálubirc,alszo_29,0,28,28,28,,,,,,,,,,,199.69258458469994,None,200.72081660628317,203.73091439972632,u,4.955638815648854,200.7252018128056,None,203.71316706459038,None,,,,,,,808485,2022_Apr_27_1523,alszo_teszt,2021.1.2,60.000970360683574,
polankilimapszilógis,alszo_30,0,29,29,29,,,,,,,,,,,205.7110652755946,None,206.72790260249747,209.74434183957055,u,5.458552334457636,206.73422787408344,None,209.72526494739577,None,,,,,,,808485,2022_Apr_27_1523,alszo_teszt,2021.1.2,60.000970360683574,
elüsekéketésenim,alszo_31,0,30,30,30,,,,,,,,,,,212.22485721646808,None,213.2274427778786,216.2397488800343,u,7.7153665099758655,213.22935345279984,None,216.2205730874557,None,,,,,,,808485,2022_Apr_27_1523,alszo_teszt,2021.1.2,60.000970360683574,
réfjenólpáulatamú,alszo_32,0,31,31,31,,,,,,,,,,,220.9717947251629,None,221.98125324228312,224.99658327107318,u,5.962769596837461,221.9898910105694,None,224.97862880514003,None,,,,,,,808485,2022_Apr_27_1523,alszo_teszt,2021.1.2,60.000970360683574,
vanatyfovagyatázólarka,alszo_33,0,32,32,32,,,,,,,,,,,227.98862054478377,None,229.01559454072265,232.02446261025034,u,5.863009570166469,229.0175296298694,None,232.0053001907654,None,,,,,,,808485,2022_Apr_27_1523,alszo_teszt,2021.1.2,60.000970360683574,
ladatobanrapolsazridant,alszo_34,0,33,33,33,,,,,,,,,,,234.92118882015347,None,235.94384447634218,238.94703292590566,u,7.092062278650701,235.9484088232275,None,238.92936085467227,None,,,,,,,808485,2022_Apr_27_1523,alszo_teszt,2021.1.2,60.000970360683574,
ninolamebefalintelék,alszo_35,0,34,34,34,,,,,,,,,,,243.0625709875021,None,244.0860477037262,247.0972847174853,u,8.45200562570244,244.09264914994128,None,247.07972585316747,None,,,,,,,808485,2022_Apr_27_1523,alszo_teszt,2021.1.2,60.000970360683574,
szikunblómitílaradiga,alszo_36,0,35,35,35,,,,,,,,,,,252.56599144870415,None,253.58726436514405,256.5966701665893,u,6.824705880368128,253.59169466770254,None,256.5792907536961,None,,,,,,,808485,2022_Apr_27_1523,alszo_teszt,2021.1.2,60.000970360683574,
,,,,,,,,,,,,,,,,,,,,,,,,,,260.44797465670854,None,space,1.7923228407744318,260.44797465670854,None,808485,2022_Apr_27_1523,alszo_teszt,2021.1.2,60.000970360683574,
