szo,hangfajl,hangok.thisRepN,hangok.thisTrialN,hangok.thisN,hangok.thisIndex,inst_text.started,inst_text.stopped,space_inst.started,space_inst.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,text.started,text.stopped,fx_cross.started,fx_cross.stopped,sound_1.started,sound_1.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,text_2.started,text_2.stopped,Résztvevő kódja,date,expName,psychopyVersion,frameRate,
,,,,,,15.603559981274884,None,23.57545079017291,None,space,38.62721025431529,23.57545079017291,None,,,,,,,,,,,,,104096,2022_Apr_01_1602,alszo_teszt,2021.1.2,59.64465714611724,
gáv,alszo_01,0,0,0,0,,,,,,,,,62.23733747511869,None,68.30211883358425,None,69.28734646330122,72.3029675737489,u,7.840562190045603,69.28990960249212,None,72.26802803052124,None,104096,2022_Apr_01_1602,alszo_teszt,2021.1.2,59.64465714611724,
gyem,alszo_02,0,1,1,1,,,,,,,,,,,77.1649964514072,None,78.17959838948445,81.18614622217137,u,3.628004257043358,78.19005683355499,None,81.18614622217137,None,104096,2022_Apr_01_1602,alszo_teszt,2021.1.2,59.64465714611724,
Szan,alszo_03,0,2,2,2,,,,,,,,,,,81.84474026813405,None,82.85028255055659,None,u,2.8606878123246133,82.86171040579211,None,None,None,104096,2022_Apr_01_1602,alszo_teszt,2021.1.2,59.64465714611724,
dolk,alszo_04,0,3,3,3,,,,,,,,,,,85.75578521058196,None,86.77138983766781,89.78604346519569,u,3.660832679714076,86.78115628950763,None,89.76891657966189,None,104096,2022_Apr_01_1602,alszo_teszt,2021.1.2,59.64465714611724,
zomás,alszo_05,0,4,4,4,,,,,,,,,,,90.46861651935615,None,91.48328470211709,94.48637008556398,u,3.721956587047316,91.48829677852336,None,94.46905566233909,None,104096,2022_Apr_01_1602,alszo_teszt,2021.1.2,59.64465714611724,
galonc,alszo_06,0,5,5,5,,,,,,,,,,,95.24325781862717,None,96.258869909856,99.27053599699866,u,3.8297291682101786,96.26021613797639,None,99.23534951364854,None,104096,2022_Apr_01_1602,alszo_teszt,2021.1.2,59.64465714611724,
Gabam,alszo_07,0,6,6,6,,,,,,,,,,,100.12046791741159,None,101.13334593951004,104.13600119925104,u,3.684089216927532,101.14181642211042,None,104.11806009541033,None,104096,2022_Apr_01_1602,alszo_teszt,2021.1.2,59.64465714611724,
ardul,alszo_08,0,7,7,7,,,,,,,,,,,104.85756031842902,None,105.86662818468176,108.86913913680473,u,3.7115036167087965,105.86649214988574,None,108.85143968596822,None,104096,2022_Apr_01_1602,alszo_teszt,2021.1.2,59.64465714611724,
tarembik,alszo_09,0,8,8,8,,,,,,,,,,,109.6053314813762,None,110.62484000209952,113.63501157262363,u,4.360688434331678,110.62513458862668,None,113.61615828308277,None,104096,2022_Apr_01_1602,alszo_teszt,2021.1.2,59.64465714611724,
