szo,hangfajl,hangok.thisRepN,hangok.thisTrialN,hangok.thisN,hangok.thisIndex,inst_text.started,inst_text.stopped,space_inst.started,space_inst.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,text.started,text.stopped,fx_cross.started,fx_cross.stopped,sound_1.started,sound_1.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,text_2.started,text_2.stopped,Résztvevő kódja,date,expName,psychopyVersion,frameRate,
,,,,,,14.253947618863549,None,22.20755462225634,None,space,33.379261269980816,22.20755462225634,None,,,,,,,,,,,,,430442,2022_Apr_09_1155,alszo_teszt,2021.1.2,59.96370872234267,
gáv,alszo_01,0,0,0,0,,,,,,,,,55.61831442614721,None,61.65517970638393,None,62.64948926339703,65.65451881533454,u,14.658845552405182,62.65579083622424,None,65.65451881533454,None,430442,2022_Apr_09_1155,alszo_teszt,2021.1.2,59.96370872234267,
gyem,alszo_02,0,1,1,1,,,,,,,,,,,77.35061778540194,None,78.35222743609083,81.35359630473249,u,14.818173477524397,78.36797076280163,None,81.35359630473249,None,430442,2022_Apr_09_1155,alszo_teszt,2021.1.2,59.96370872234267,
Szan,alszo_03,0,2,2,2,,,,,,,,,,,93.23236711580284,None,94.25569523250277,None,u,2.683602686607628,94.26256626015902,None,None,None,430442,2022_Apr_09_1155,alszo_teszt,2021.1.2,59.96370872234267,
dolk,alszo_04,0,3,3,3,,,,,,,,,,,96.97494523157002,None,97.99336036196308,101.00593309107899,u,3.7672630962169933,97.9948991651313,None,100.97097086605618,None,430442,2022_Apr_09_1155,alszo_teszt,2021.1.2,59.96370872234267,
zomás,alszo_05,0,4,4,4,,,,,,,,,,,101.79317997758244,None,102.818922134905,105.82200011445047,u,3.8315069933159975,102.82653895867179,None,105.80503682951394,None,430442,2022_Apr_09_1155,alszo_teszt,2021.1.2,59.96370872234267,
galonc,alszo_06,0,5,5,5,,,,,,,,,,,106.69724409987566,None,107.70986155187765,110.72137984098799,u,5.090743295610082,107.71130630636208,None,110.68619400153511,None,430442,2022_Apr_09_1155,alszo_teszt,2021.1.2,59.96370872234267,
Gabam,alszo_07,0,6,6,6,,,,,,,,,,,112.82476839267565,None,113.82636778011519,None,u,2.987965562756017,113.82999487459529,None,116.81758287418234,None,430442,2022_Apr_09_1155,alszo_teszt,2021.1.2,59.96370872234267,
ardul,alszo_08,0,7,7,7,,,,,,,,,,,116.8456665451663,None,117.85663938923071,120.86688845651906,u,3.7905752893302633,117.85937264800532,None,120.84745172851763,None,430442,2022_Apr_09_1155,alszo_teszt,2021.1.2,59.96370872234267,
tarembik,alszo_09,0,8,8,8,,,,,,,,,,,121.6948642700836,None,122.70187238986873,125.70496113027593,u,4.355988263818745,122.70191014618558,None,125.68731238469354,None,430442,2022_Apr_09_1155,alszo_teszt,2021.1.2,59.96370872234267,
cselika,alszo_10,0,9,9,9,,,,,,,,,,,127.0808190446096,None,128.1015881911673,None,u,2.5891204582012506,128.10082989255307,None,None,None,430442,2022_Apr_09_1155,alszo_teszt,2021.1.2,59.96370872234267,
hübedin,alszo_11,0,10,10,10,,,,,,,,,,,130.7249766433324,None,131.73303690166776,134.73684313649846,u,3.8237905849305207,131.7460685535284,None,134.73684313649846,None,430442,2022_Apr_09_1155,alszo_teszt,2021.1.2,59.96370872234267,
vazóga,alszo_12,0,11,11,11,,,,,,,,,,,135.60080470094135,None,136.63025002519151,139.63704112390633,u,4.732068859560513,136.63002976964253,None,139.61905649016762,None,430442,2022_Apr_09_1155,alszo_teszt,2021.1.2,59.96370872234267,
tipebanér,alszo_13,0,12,12,12,,,,,,,,,,,141.39311292435423,None,142.41848218362128,145.42177071527976,u,4.496967987370681,142.41706983612357,None,145.40433874196196,None,430442,2022_Apr_09_1155,alszo_teszt,2021.1.2,59.96370872234267,
limefürék,alszo_14,0,13,13,13,,,,,,,,,,,146.94624887570762,None,147.95178872883716,150.95502768589222,u,4.897662964847314,147.95203734827464,None,150.9372840830065,None,430442,2022_Apr_09_1155,alszo_teszt,2021.1.2,59.96370872234267,
serkápanta,alszo_15,0,14,14,14,,,,,,,,,,,152.88518036571986,None,153.89372019770107,156.9035798835339,u,5.503017084266958,153.90679663464925,None,156.9035798835339,None,430442,2022_Apr_09_1155,alszo_teszt,2021.1.2,59.96370872234267,
berszidelén,alszo_16,0,15,15,15,,,,,,,,,,,159.44575344067653,None,160.46060255847232,163.4684193600956,u,5.5090767554197555,160.4604824473554,None,163.4490261731512,None,430442,2022_Apr_09_1155,alszo_teszt,2021.1.2,59.96370872234267,
hápamarogány,alszo_17,0,16,16,16,,,,,,,,,,,166.01190941220784,None,167.03461520279524,170.038015075158,u,5.17380688172625,167.03573041367736,None,170.02073394050285,None,430442,2022_Apr_09_1155,alszo_teszt,2021.1.2,59.96370872234267,
gyilonitora,alszo_18,0,17,17,17,,,,,,,,,,,172.2327260185184,None,173.2369677261241,176.2371329955372,u,6.7648639839567295,173.23698184586692,None,176.21959652368196,None,430442,2022_Apr_09_1155,alszo_teszt,2021.1.2,59.96370872234267,
tesilbengecsék,alszo_19,0,18,18,18,,,,,,,,,,,180.03493858844877,None,181.03819906722592,184.0619032542586,u,7.538331369839398,181.03908307509346,None,184.01736448467864,None,430442,2022_Apr_09_1155,alszo_teszt,2021.1.2,59.96370872234267,
fortiklempelesz,alszo_20,0,19,19,19,,,,,,,,,,,188.60400434664143,None,189.61127651183878,192.61503143042273,u,5.7058154680225925,189.62371476128874,None,192.61503143042273,None,430442,2022_Apr_09_1155,alszo_teszt,2021.1.2,59.96370872234267,
abalamofálsag,alszo_21,0,20,20,20,,,,,,,,,,,195.35527450148538,None,196.3846147051833,199.38666169469207,u,7.890036437644994,196.38333733496393,None,199.3688347417824,None,430442,2022_Apr_09_1155,alszo_teszt,2021.1.2,59.96370872234267,
sémernyegvőterec,alszo_22,0,21,21,21,,,,,,,,,,,204.30326750754784,None,205.3307681015728,208.33495389001973,u,6.287497869598155,205.32965401031788,None,208.3162309243512,None,430442,2022_Apr_09_1155,alszo_teszt,2021.1.2,59.96370872234267,
hulukatánatalm,alszo_23,0,22,22,22,,,,,,,,,,,211.65926541260114,None,212.67152134942415,215.6828998095384,u,5.633639634304927,212.67149671762627,None,215.64437965811567,None,430442,2022_Apr_09_1155,alszo_teszt,2021.1.2,59.96370872234267,
,,,,,,,,,,,,,,,,218.3423524486866,None,,,,,,,,,,,,,,
