szo,hangfajl,hangok.thisRepN,hangok.thisTrialN,hangok.thisN,hangok.thisIndex,inst_text.started,inst_text.stopped,space_inst.started,space_inst.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,text.started,text.stopped,fx_cross.started,fx_cross.stopped,sound_1.started,sound_1.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,text_2.started,text_2.stopped,Résztvevő kódja,date,expName,psychopyVersion,frameRate,
,,,,,,13.285849840613082,None,21.236681101610884,None,space,45.08678759052418,21.236681101610884,None,,,,,,,,,,,,,626942,2022_Apr_25_1321,alszo_teszt,2021.1.2,59.99940285122155,
gáv,alszo_01,0,0,0,0,,,,,,,,,66.35170817794278,None,72.37869492522441,None,73.35668417434208,76.35983760422096,u,10.77471888018772,73.35655212053098,None,76.34242055937648,None,626942,2022_Apr_25_1321,alszo_teszt,2021.1.2,59.99940285122155,
gyem,alszo_02,0,1,1,1,,,,,,,,,,,84.17667157226242,None,85.17340711266733,88.17574881296605,u,3.757986362790689,85.17328065703623,None,88.15825930307619,None,626942,2022_Apr_25_1321,alszo_teszt,2021.1.2,59.99940285122155,
Szan,alszo_03,0,2,2,2,,,,,,,,,,,88.96006507519633,None,89.96436867322772,92.97619796986692,u,3.383025083458051,89.96430348604918,None,92.9417865392752,None,626942,2022_Apr_25_1321,alszo_teszt,2021.1.2,59.99940285122155,
dolk,alszo_04,0,3,3,3,,,,,,,,,,,93.3758663116023,None,94.37305063586682,97.37573755439371,u,3.6941529957111925,94.37302681268193,None,97.3581970394589,None,626942,2022_Apr_25_1321,alszo_teszt,2021.1.2,59.99940285122155,
zomás,alszo_05,0,4,4,4,,,,,,,,,,,98.09688724973239,None,99.10673362454399,102.10898979776539,u,3.792692006798461,99.10646037338302,None,102.09166481089778,None,626942,2022_Apr_25_1321,alszo_teszt,2021.1.2,59.99940285122155,
galonc,alszo_06,0,5,5,5,,,,,,,,,,,102.93125302460976,None,103.93978041615337,106.94237154442817,u,4.383414775831625,103.93968506134115,None,106.92501670098864,None,626942,2022_Apr_25_1321,alszo_teszt,2021.1.2,59.99940285122155,
Gabam,alszo_07,0,6,6,6,,,,,,,,,,,108.35085788322613,None,109.35638498510234,112.35880101611838,u,3.655249372124672,109.35600723535754,None,112.34075573598966,None,626942,2022_Apr_25_1321,alszo_teszt,2021.1.2,59.99940285122155,
ardul,alszo_08,0,7,7,7,,,,,,,,,,,113.0424478657078,None,114.03992422618903,117.05758335930295,u,3.51583494967781,114.03946032724343,None,117.02097808150575,None,626942,2022_Apr_25_1321,alszo_teszt,2021.1.2,59.99940285122155,
tarembik,alszo_09,0,8,8,8,,,,,,,,,,,117.57677532429807,None,118.580019630678,121.59218263858929,u,3.934670064598322,118.58032547566108,None,121.55746299936436,None,626942,2022_Apr_25_1321,alszo_teszt,2021.1.2,59.99940285122155,
cselika,alszo_10,0,9,9,9,,,,,,,,,,,122.54309351742268,None,123.55634729093872,126.5587493267376,u,3.5669306912459433,123.55605693417601,None,126.54136524861678,None,626942,2022_Apr_25_1321,alszo_teszt,2021.1.2,59.99940285122155,
hübedin,alszo_11,0,10,10,10,,,,,,,,,,,127.15020793955773,None,128.15635736747646,131.1598053216003,u,3.5749549972824752,128.155967799481,None,131.1419671725016,None,626942,2022_Apr_25_1321,alszo_teszt,2021.1.2,59.99940285122155,
