szo,hangfajl,hangok.thisRepN,hangok.thisTrialN,hangok.thisN,hangok.thisIndex,inst_text.started,inst_text.stopped,space_inst.started,space_inst.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,text.started,text.stopped,fx_cross.started,fx_cross.stopped,sound_1.started,sound_1.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,text_2.started,text_2.stopped,Résztvevő kódja,date,expName,psychopyVersion,frameRate,
,,,,,,8.548362767789513,None,16.514280489180237,None,space,43.69596151728183,16.514280489180237,None,,,,,,,,,,,,,815115,2022_Mar_26_1204,alszo_teszt,2021.1.2,59.37361046895194,
gáv,alszo_01,0,0,0,0,,,,,,,,,60.2447643596679,None,66.28471750952303,None,67.26371993091888,70.27375577157363,u,21.841515709180385,67.26449803821743,None,70.23879303317517,None,815115,2022_Mar_26_1204,alszo_teszt,2021.1.2,59.37361046895194,
gyem,alszo_02,0,1,1,1,,,,,,,,,,,89.14397645555437,None,90.15330979428253,93.15560996765271,u,4.520873828791082,90.15325533691794,None,93.13770562969148,None,815115,2022_Mar_26_1204,alszo_teszt,2021.1.2,59.37361046895194,
Szan,alszo_03,0,2,2,2,,,,,,,,,,,94.70903467899188,None,95.72011898471973,98.72222913336009,u,3.3219176293350756,95.71988756489009,None,98.70433630235493,None,815115,2022_Mar_26_1204,alszo_teszt,2021.1.2,59.37361046895194,
dolk,alszo_04,0,3,3,3,,,,,,,,,,,99.06814371980727,None,100.07957790805958,103.08510850695893,u,3.9057774445973337,100.07967926515266,None,103.0655766716227,None,815115,2022_Mar_26_1204,alszo_teszt,2021.1.2,59.37361046895194,
zomás,alszo_05,0,4,4,4,,,,,,,,,,,104.0297673731111,None,105.0368424930144,108.03896383801475,u,3.636753327678889,105.03671494917944,None,108.02162770880386,None,815115,2022_Mar_26_1204,alszo_teszt,2021.1.2,59.37361046895194,
galonc,alszo_06,0,5,5,5,,,,,,,,,,,108.69472837587819,None,109.6944391710218,112.70526030287147,u,4.4978229543194175,109.69554756721482,None,112.66940155485645,None,815115,2022_Mar_26_1204,alszo_teszt,2021.1.2,59.37361046895194,
Gabam,alszo_07,0,6,6,6,,,,,,,,,,,114.23149059852585,None,115.23958737510256,118.25608251104131,u,3.913886319845915,115.23952887486666,None,118.22068840684369,None,815115,2022_Mar_26_1204,alszo_teszt,2021.1.2,59.37361046895194,
ardul,alszo_08,0,7,7,7,,,,,,,,,,,119.17737638577819,None,120.18639467484317,123.18984215147793,u,3.623124085832387,120.18625437980518,None,123.17228738497943,None,815115,2022_Mar_26_1204,alszo_teszt,2021.1.2,59.37361046895194,
tarembik,alszo_09,0,8,8,8,,,,,,,,,,,123.85094294091687,None,124.85295829470269,127.85530729638413,u,3.8685331624001265,124.85298532107845,None,127.8376340358518,None,815115,2022_Mar_26_1204,alszo_teszt,2021.1.2,59.37361046895194,
