szo,hangfajl,hangok.thisRepN,hangok.thisTrialN,hangok.thisN,hangok.thisIndex,inst_text.started,inst_text.stopped,space_inst.started,space_inst.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,text.started,text.stopped,fx_cross.started,fx_cross.stopped,sound_1.started,sound_1.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,text_2.started,text_2.stopped,Résztvevő kódja,date,expName,psychopyVersion,frameRate,
,,,,,,34.507334184716456,None,42.43795395467896,None,space,35.19694845424965,42.43795395467896,None,,,,,,,,,,,,,030718,2022_Apr_07_1122,alszo_teszt,2021.1.2,50.4203164496249,
gáv,alszo_01,0,0,0,0,,,,,,,,,77.67156462406274,None,83.77522101765499,None,84.73214414338581,87.74190617899876,u,5.008772284490988,84.73803724255413,None,87.71232685423456,None,030718,2022_Apr_07_1122,alszo_teszt,2021.1.2,50.4203164496249,
gyem,alszo_02,0,1,1,1,,,,,,,,,,,89.78800747916102,None,90.79034078370314,93.8109865974402,u,10.105263059725985,90.79369674390182,None,93.78094200522173,None,030718,2022_Apr_07_1122,alszo_teszt,2021.1.2,50.4203164496249,
Szan,alszo_03,0,2,2,2,,,,,,,,,,,100.94522966991644,None,101.96831726769452,104.98180822399445,u,8.416455544298515,101.97055378661025,None,104.95393353269901,None,030718,2022_Apr_07_1122,alszo_teszt,2021.1.2,50.4203164496249,
dolk,alszo_04,0,3,3,3,,,,,,,,,,,110.43468401930295,None,111.43216218187008,114.44986026431434,u,4.875828602351248,111.44682545063552,None,114.44986026431434,None,030718,2022_Apr_07_1122,alszo_teszt,2021.1.2,50.4203164496249,
zomás,alszo_05,0,4,4,4,,,,,,,,,,,116.36223880795296,None,117.38271972541698,120.41122688201722,u,4.332875944674015,117.39771763863973,None,120.38555257057305,None,030718,2022_Apr_07_1122,alszo_teszt,2021.1.2,50.4203164496249,
galonc,alszo_06,0,5,5,5,,,,,,,,,,,121.76085183781106,None,122.78068306010682,125.79295281332452,u,4.436068314709701,122.79865793942008,None,125.79295281332452,None,030718,2022_Apr_07_1122,alszo_teszt,2021.1.2,50.4203164496249,
Gabam,alszo_07,0,6,6,6,,,,,,,,,,,127.28577879769728,None,128.32287200724238,131.33511022431776,u,3.2665681601502,128.33599224232603,None,131.33511022431776,None,030718,2022_Apr_07_1122,alszo_teszt,2021.1.2,50.4203164496249,
ardul,alszo_08,0,7,7,7,,,,,,,,,,,131.64167522464413,None,132.6633754168637,135.68953496264294,u,4.649406255106442,132.66501448990311,None,135.6601117637474,None,030718,2022_Apr_07_1122,alszo_teszt,2021.1.2,50.4203164496249,
tarembik,alszo_09,0,8,8,8,,,,,,,,,,,137.35296269098762,None,138.3727960902499,141.37909138470422,u,4.153565050684847,138.3773093103664,None,141.35239416873083,None,030718,2022_Apr_07_1122,alszo_teszt,2021.1.2,50.4203164496249,
cselika,alszo_10,0,9,9,9,,,,,,,,,,,142.57644788105972,None,143.60008471852632,146.61879189673346,u,3.1362655558623374,143.60183451033663,None,146.59257923078258,None,030718,2022_Apr_07_1122,alszo_teszt,2021.1.2,50.4203164496249,
hübedin,alszo_11,0,10,10,10,,,,,,,,,,,146.7890754797263,None,147.80734774468,150.8134914538823,u,4.0346599471522495,147.82364523480646,None,150.8134914538823,None,030718,2022_Apr_07_1122,alszo_teszt,2021.1.2,50.4203164496249,
vazóga,alszo_12,0,11,11,11,,,,,,,,,,,151.89491359272506,None,152.92629421208983,155.9387106365757,u,4.736784814391285,152.92936454282608,None,155.91087948635686,None,030718,2022_Apr_07_1122,alszo_teszt,2021.1.2,50.4203164496249,
tipebanér,alszo_13,0,12,12,12,,,,,,,,,,,157.70814877620433,None,158.72500751083714,161.75668620003853,u,4.765592839801684,158.72452209005132,None,161.7018365629483,None,030718,2022_Apr_07_1122,alszo_teszt,2021.1.2,50.4203164496249,
limefürék,alszo_14,0,13,13,13,,,,,,,,,,,163.54478262737393,None,164.5829584550578,167.60674967675004,u,5.2115191670600325,164.5825066230027,None,167.57689106708858,None,030718,2022_Apr_07_1122,alszo_teszt,2021.1.2,50.4203164496249,
serkápanta,alszo_15,0,14,14,14,,,,,,,,,,,169.84866176487412,None,170.87068385011514,173.87601023097523,u,5.033428978524171,170.88875874946825,None,173.87601023097523,None,030718,2022_Apr_07_1122,alszo_teszt,2021.1.2,50.4203164496249,
,,,,,,,,,,,,,,,,175.95983521570452,None,,,,,,,,,,,,,,
