szo,hangfajl,hangok.thisRepN,hangok.thisTrialN,hangok.thisN,hangok.thisIndex,inst_text.started,inst_text.stopped,space_inst.started,space_inst.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,text.started,text.stopped,fx_cross.started,fx_cross.stopped,sound_1.started,sound_1.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,text_2.started,text_2.stopped,Résztvevő kódja,date,expName,psychopyVersion,frameRate,
,,,,,,27.521521033719182,None,35.48393495474011,None,space,23.99581229640171,35.48393495474011,None,,,,,,,,,,,,,003956,2022_Mar_23_1525,alszo_teszt,2021.1.2,60.00933173870582,
gáv,alszo_01,0,0,0,0,,,,,,,,,59.520251193549484,None,65.58376495866105,None,66.6076139388606,69.62414076644927,u,4.1044400543905795,66.60720054851845,None,69.58950116392225,None,003956,2022_Mar_23_1525,alszo_teszt,2021.1.2,60.00933173870582,
gyem,alszo_02,0,1,1,1,,,,,,,,,,,70.7572842403315,None,71.77066822256893,74.77339438162744,u,4.041828208602965,71.77413955330849,None,74.75620473688468,None,003956,2022_Mar_23_1525,alszo_teszt,2021.1.2,60.00933173870582,
Szan,alszo_03,0,2,2,2,,,,,,,,,,,75.84952848264948,None,76.87070908863097,79.87397453328595,u,3.7896167961880565,76.87394871981815,None,79.85603691730648,None,003956,2022_Mar_23_1525,alszo_teszt,2021.1.2,60.00933173870582,
dolk,alszo_04,0,3,3,3,,,,,,,,,,,80.68919992307201,None,81.70389479771256,84.70655968831852,u,3.822618638165295,81.70486594643444,None,84.68910288903862,None,003956,2022_Mar_23_1525,alszo_teszt,2021.1.2,60.00933173870582,
zomás,alszo_05,0,4,4,4,,,,,,,,,,,85.5684192716144,None,86.5951426369138,89.6061813798733,u,3.9053299063816667,86.59817886957899,None,89.58877838449553,None,003956,2022_Mar_23_1525,alszo_teszt,2021.1.2,60.00933173870582,
galonc,alszo_06,0,5,5,5,,,,,,,,,,,90.53148101922125,None,91.54467740189284,94.55729580996558,u,3.8061511502601206,91.54527789354324,None,94.52201771084219,None,003956,2022_Mar_23_1525,alszo_teszt,2021.1.2,60.00933173870582,
Gabam,alszo_07,0,6,6,6,,,,,,,,,,,95.3763269870542,None,96.39494178863242,99.40545057691634,u,3.5974517362192273,96.39404503209516,None,99.37194614857435,None,003956,2022_Mar_23_1525,alszo_teszt,2021.1.2,60.00933173870582,
ardul,alszo_08,0,7,7,7,,,,,,,,,,,100.0120160500519,None,101.01562876487151,104.02325302921236,u,3.390191661193967,101.0171255772002,None,104.00534247094765,None,003956,2022_Mar_23_1525,alszo_teszt,2021.1.2,60.00933173870582,
tarembik,alszo_09,0,8,8,8,,,,,,,,,,,104.43443825654685,None,105.45104830991477,108.455208520405,u,3.771789588034153,105.45142636913806,None,108.4358766619116,None,003956,2022_Mar_23_1525,alszo_teszt,2021.1.2,60.00933173870582,
cselika,alszo_10,0,9,9,9,,,,,,,,,,,109.26587890740484,None,110.27507356833667,113.2901153396815,u,3.473440037574619,110.27779730176553,None,113.25574880093336,None,003956,2022_Mar_23_1525,alszo_teszt,2021.1.2,60.00933173870582,
hübedin,alszo_11,0,10,10,10,,,,,,,,,,,113.77783337887377,None,114.82053445838392,117.82281861500815,u,3.775835783686489,114.82327299565077,None,117.80497710034251,None,003956,2022_Mar_23_1525,alszo_teszt,2021.1.2,60.00933173870582,
vazóga,alszo_12,0,11,11,11,,,,,,,,,,,118.6401395672001,None,119.65655897324905,122.67333019012585,u,4.142156444955617,119.65692645870149,None,122.6378741953522,None,003956,2022_Mar_23_1525,alszo_teszt,2021.1.2,60.00933173870582,
tipebanér,alszo_13,0,12,12,12,,,,,,,,,,,123.84315067064017,None,124.8683927115053,127.87872826913372,u,4.402393693570048,124.86865072278306,None,127.85343876853585,None,003956,2022_Mar_23_1525,alszo_teszt,2021.1.2,60.00933173870582,
limefürék,alszo_14,0,13,13,13,,,,,,,,,,,129.29735090769827,None,130.31995623512194,133.32140788948163,u,3.9928695522248745,130.31851024087518,None,133.30295493546873,None,003956,2022_Mar_23_1525,alszo_teszt,2021.1.2,60.00933173870582,
serkápanta,alszo_15,0,14,14,14,,,,,,,,,,,134.3425557152368,None,135.3831183137372,138.40323807578534,u,4.494817697443068,135.38410401763394,None,138.36489687301219,None,003956,2022_Mar_23_1525,alszo_teszt,2021.1.2,60.00933173870582,
