szo,hangfajl,hangok.thisRepN,hangok.thisTrialN,hangok.thisN,hangok.thisIndex,inst_text.started,inst_text.stopped,space_inst.started,space_inst.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,text.started,text.stopped,fx_cross.started,fx_cross.stopped,sound_1.started,sound_1.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,text_2.started,text_2.stopped,Résztvevő kódja,date,expName,psychopyVersion,frameRate,
,,,,,,21.240877365285996,None,29.20326595453662,None,space,56.24052872561151,29.20326595453662,None,,,,,,,,,,,,,309797,2022_Mar_31_1445,alszo_teszt,2021.1.2,59.96467788657067,
gáv,alszo_01,0,0,0,0,,,,,,,,,85.47315505539882,None,91.53155049178167,None,92.49324379212922,95.50581739988411,u,8.59696101892041,92.49480741468142,None,95.47077242506202,None,309797,2022_Mar_31_1445,alszo_teszt,2021.1.2,59.96467788657067,
gyem,alszo_02,0,1,1,1,,,,,,,,,,,101.11540502228308,None,102.11967366579047,105.122119057487,u,3.563825631659711,102.11981822218513,None,105.10450326776481,None,309797,2022_Mar_31_1445,alszo_teszt,2021.1.2,59.96467788657067,
Szan,alszo_03,0,2,2,2,,,,,,,,,,,105.71102995189722,None,106.7362126845168,109.7436201426026,u,3.4782020890852436,106.73352234310005,None,109.7071572834684,None,309797,2022_Mar_31_1445,alszo_teszt,2021.1.2,59.96467788657067,
dolk,alszo_04,0,3,3,3,,,,,,,,,,,110.24124155536992,None,111.25298439921463,114.25527546889498,u,3.8984363774652593,111.2573265649844,None,114.23752034766949,None,309797,2022_Mar_31_1445,alszo_teszt,2021.1.2,59.96467788657067,
zomás,alszo_05,0,4,4,4,,,,,,,,,,,115.19268453799305,None,116.21969039799879,119.22181943262694,u,3.5010008229292,116.23042190689011,None,119.20384971608291,None,309797,2022_Mar_31_1445,alszo_teszt,2021.1.2,59.96467788657067,
galonc,alszo_06,0,5,5,5,,,,,,,,,,,119.77231496127206,None,120.76862989270303,123.77170445307274,u,3.4898250705737155,120.7695858683146,None,123.75403392597218,None,309797,2022_Mar_31_1445,alszo_teszt,2021.1.2,59.96467788657067,
Gabam,alszo_07,0,6,6,6,,,,,,,,,,,124.30511539318832,None,125.30294617638283,None,u,2.892446368263336,125.30290817123023,None,None,None,309797,2022_Mar_31_1445,alszo_teszt,2021.1.2,59.96467788657067,
ardul,alszo_08,0,7,7,7,,,,,,,,,,,128.2191310816852,None,129.21926736526365,132.22166517277947,u,3.4558512064395472,129.2195615163946,None,132.20367368569714,None,309797,2022_Mar_31_1445,alszo_teszt,2021.1.2,59.96467788657067,
tarembik,alszo_09,0,8,8,8,,,,,,,,,,,132.71368471402093,None,133.71898217115375,136.72125091045746,u,3.1797372855362482,133.71960536847473,None,136.70325382522424,None,309797,2022_Mar_31_1445,alszo_teszt,2021.1.2,59.96467788657067,
cselika,alszo_10,0,9,9,9,,,,,,,,,,,136.92608683209983,None,137.93112739685165,None,u,2.7000149905506987,137.94359470217023,None,None,None,309797,2022_Mar_31_1445,alszo_teszt,2021.1.2,59.96467788657067,
hübedin,alszo_11,0,10,10,10,,,,,,,,,,,140.67372021867777,None,141.69073837591566,144.70331851483206,u,9.144017734914087,141.70725929399487,None,144.70331851483206,None,309797,2022_Mar_31_1445,alszo_teszt,2021.1.2,59.96467788657067,
vazóga,alszo_12,0,11,11,11,,,,,,,,,,,150.8830480251927,None,151.88594885662604,154.90245957364095,u,3.685372123873094,151.88614379629144,None,154.86362341439235,None,309797,2022_Mar_31_1445,alszo_teszt,2021.1.2,59.96467788657067,
tipebanér,alszo_13,0,12,12,12,,,,,,,,,,,155.6034501955146,None,156.6060142055823,159.6215579995187,u,3.536224627197953,156.6108975870011,None,159.60393287954503,None,309797,2022_Mar_31_1445,alszo_teszt,2021.1.2,59.96467788657067,
limefürék,alszo_14,0,13,13,13,,,,,,,,,,,160.18806109685102,None,161.20265525972934,164.2055260478228,u,3.9046210774686188,161.2027804714453,None,164.18805083358893,None,309797,2022_Mar_31_1445,alszo_teszt,2021.1.2,59.96467788657067,
serkápanta,alszo_15,0,14,14,14,,,,,,,,,,,165.13961821931298,None,166.16684551686046,169.17138734957553,u,5.866653251869138,166.1683845697844,None,169.15353581594536,None,309797,2022_Mar_31_1445,alszo_teszt,2021.1.2,59.96467788657067,
berszidelén,alszo_16,0,15,15,15,,,,,,,,,,,172.07926996529568,None,173.08985642015176,176.1043440317735,u,4.688197318231687,173.09077538584825,None,176.06866833326058,None,309797,2022_Mar_31_1445,alszo_teszt,2021.1.2,59.96467788657067,
hápamarogány,alszo_17,0,16,16,16,,,,,,,,,,,177.8061019097804,None,178.81908971764494,181.83661363570718,u,4.083795438986272,178.81516591951367,None,181.8012797346746,None,309797,2022_Mar_31_1445,alszo_teszt,2021.1.2,59.96467788657067,
gyilonitora,alszo_18,0,17,17,17,,,,,,,,,,,182.9380643624172,None,183.95255713677614,186.97776419020374,u,4.068573164899135,183.9503973746032,None,186.93397927569458,None,309797,2022_Mar_31_1445,alszo_teszt,2021.1.2,59.96467788657067,
tesilbengecsék,alszo_19,0,18,18,18,,,,,,,,,,,188.0491295826214,None,189.05724197087983,192.0696343232994,u,4.353170444082934,189.07372158710496,None,192.0696343232994,None,309797,2022_Mar_31_1445,alszo_teszt,2021.1.2,59.96467788657067,
fortiklempelesz,alszo_20,0,19,19,19,,,,,,,,,,,193.45025088993134,None,194.4689158332243,197.47101159000886,u,4.9886264467204455,194.47035256458912,None,197.4531581903575,None,309797,2022_Mar_31_1445,alszo_teszt,2021.1.2,59.96467788657067,
abalamofálsag,alszo_21,0,20,20,20,,,,,,,,,,,199.48292069861782,None,200.49951868440837,203.50475064330385,u,6.228052338876296,200.51094529559487,None,203.48686178878415,None,309797,2022_Mar_31_1445,alszo_teszt,2021.1.2,59.96467788657067,
sémernyegvőterec,alszo_22,0,21,21,21,,,,,,,,,,,206.76603229378816,None,207.78496843582832,210.7882214524434,u,6.146207229438005,207.79252362260013,None,210.7712139938376,None,309797,2022_Mar_31_1445,alszo_teszt,2021.1.2,59.96467788657067,
hulukatánatalm,alszo_23,0,22,22,22,,,,,,,,,,,213.97979071666487,None,214.9900705179054,218.00524234655313,u,5.472930196789093,214.99378730927128,None,217.97063527064165,None,309797,2022_Mar_31_1445,alszo_teszt,2021.1.2,59.96467788657067,
innécsésziderszil,alszo_24,0,23,23,23,,,,,,,,,,,220.49604522550362,None,221.5110122866812,224.52131273879786,u,5.399435956351226,221.51517748899641,None,224.50352247373667,None,309797,2022_Mar_31_1445,alszo_teszt,2021.1.2,59.96467788657067,
dögeliztetmereni,alszo_25,0,24,24,24,,,,,,,,,,,226.9536993438378,None,227.96197781022346,230.97182487527607,u,4.854539189167554,227.9643463829998,None,230.93718887562864,None,309797,2022_Mar_31_1445,alszo_teszt,2021.1.2,59.96467788657067,
kusztenirselemenég,alszo_26,0,25,25,25,,,,,,,,,,,232.85657224679017,None,233.8685536336037,236.87140140711563,u,6.791886989725754,233.8666131318605,None,236.85365592714516,None,309797,2022_Mar_31_1445,alszo_teszt,2021.1.2,59.96467788657067,
intogszocolarásu,alszo_27,0,26,26,26,,,,,,,,,,,240.69894636794925,None,241.73451588845055,244.73775951264543,u,5.924037291086279,241.7424687919265,None,244.71976211637957,None,309797,2022_Mar_31_1445,alszo_teszt,2021.1.2,59.96467788657067,
,,,,,,,,,,,,,,,,247.69827925635036,None,,,,,,,,,,,,,,
