szo,hangfajl,hangok.thisRepN,hangok.thisTrialN,hangok.thisN,hangok.thisIndex,inst_text.started,inst_text.stopped,space_inst.started,space_inst.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,text.started,text.stopped,fx_cross.started,fx_cross.stopped,sound_1.started,sound_1.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,text_2.started,text_2.stopped,Résztvevő kódja,date,expName,psychopyVersion,frameRate,
,,,,,,80.92669014958665,None,88.89774725493044,None,space,6.36693832045421,88.89774725493044,None,,,,,,,,,,,,,880818,2022_Mar_16_1608,alszo_teszt,2021.1.2,59.95506214522822,
gáv,alszo_01,0,0,0,0,,,,,,,,,95.29546092124656,None,101.33659527404234,None,102.29602922331541,105.29817694146186,u,8.273012154735625,102.30388111341745,None,105.29817694146186,None,880818,2022_Mar_16_1608,alszo_teszt,2021.1.2,59.95506214522822,
gyem,alszo_02,0,1,1,1,,,,,,,,,,,110.6141944648698,None,111.63021366754546,114.63448111340404,u,5.06123128766194,111.62720946827903,None,114.59953890135512,None,880818,2022_Mar_16_1608,alszo_teszt,2021.1.2,59.95506214522822,
Szan,alszo_03,0,2,2,2,,,,,,,,,,,116.71390566416085,None,117.71679376456886,120.73317252192646,u,3.9629273931495845,117.73340422194451,None,120.715097441338,None,880818,2022_Mar_16_1608,alszo_teszt,2021.1.2,59.95506214522822,
dolk,alszo_04,0,3,3,3,,,,,,,,,,,121.72360284952447,None,122.73040403490886,125.73182399757206,u,4.060249128844589,122.74034495605156,None,125.73182399757206,None,880818,2022_Mar_16_1608,alszo_teszt,2021.1.2,59.95506214522822,
zomás,alszo_05,0,4,4,4,,,,,,,,,,,126.82439697394148,None,127.84689724296331,130.85367917688563,u,4.849586640950292,127.85460255527869,None,130.8338621482253,None,880818,2022_Mar_16_1608,alszo_teszt,2021.1.2,59.95506214522822,
galonc,alszo_06,0,5,5,5,,,,,,,,,,,132.74593654321507,None,133.74643207034097,136.7488369909115,u,3.836952931713313,133.74715848825872,None,136.73065554583445,None,880818,2022_Mar_16_1608,alszo_teszt,2021.1.2,59.95506214522822,
Gabam,alszo_07,0,6,6,6,,,,,,,,,,,137.6068313838914,None,138.61328268675135,141.61455398844555,u,3.5689778397791088,138.62334116874263,None,141.61455398844555,None,880818,2022_Mar_16_1608,alszo_teszt,2021.1.2,59.95506214522822,
ardul,alszo_08,0,7,7,7,,,,,,,,,,,142.22700401768088,None,143.229760562256,146.23329754685983,u,3.9546123212203383,143.2296929806471,None,146.2153533999808,None,880818,2022_Mar_16_1608,alszo_teszt,2021.1.2,59.95506214522822,
tarembik,alszo_09,0,8,8,8,,,,,,,,,,,147.21708943881094,None,148.24662623172628,151.2501217587851,u,4.125983480364084,148.2579980008304,None,151.2324363696389,None,880818,2022_Mar_16_1608,alszo_teszt,2021.1.2,59.95506214522822,
