szo,hangfajl,hangok.thisRepN,hangok.thisTrialN,hangok.thisN,hangok.thisIndex,inst_text.started,inst_text.stopped,space_inst.started,space_inst.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,text.started,text.stopped,fx_cross.started,fx_cross.stopped,sound_1.started,sound_1.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,text_2.started,text_2.stopped,Résztvevő kódja,date,expName,psychopyVersion,frameRate,
,,,,,,35.52552222867962,None,43.492377511109225,None,space,18.55751621746458,43.492377511109225,None,,,,,,,,,,,,,158228,2022_Apr_04_1423,alszo_teszt,2021.1.2,59.98895503442797,
gáv,alszo_01,0,0,0,0,,,,,,,,,62.077267697430216,None,68.13637409755029,None,69.12537126550451,72.12663426797371,u,3.6804756179917604,69.13700171117671,None,72.12663426797371,None,158228,2022_Apr_04_1423,alszo_teszt,2021.1.2,59.98895503442797,
gyem,alszo_02,0,1,1,1,,,,,,,,,,,72.86115992208943,None,73.87543517760932,76.88004244631156,u,2.9884270906914026,73.8770051447209,None,76.86146408761851,None,158228,2022_Apr_04_1423,alszo_teszt,2021.1.2,59.98895503442797,
Szan,alszo_03,0,2,2,2,,,,,,,,,,,76.90441145829391,None,77.92531304482836,80.92697351519018,u,3.0720076233847067,77.93747251469176,None,80.92697351519018,None,158228,2022_Apr_04_1423,alszo_teszt,2021.1.2,59.98895503442797,
dolk,alszo_04,0,3,3,3,,,,,,,,,,,81.03623084735591,None,82.05852139452472,85.06169367360417,u,3.1576103285187855,82.05975982744712,None,85.04393233219162,None,158228,2022_Apr_04_1423,alszo_teszt,2021.1.2,59.98895503442797,
zomás,alszo_05,0,4,4,4,,,,,,,,,,,85.25254077778663,None,86.27541042133234,89.27893787121866,u,4.2190219179028645,86.2784614074044,None,89.26090750820003,None,158228,2022_Apr_04_1423,alszo_teszt,2021.1.2,59.98895503442797,
galonc,alszo_06,0,5,5,5,,,,,,,,,,,90.5234076869674,None,91.52507639910327,94.52779040811583,u,3.6125272675417364,91.52495774964336,None,94.51026014552917,None,158228,2022_Apr_04_1423,alszo_teszt,2021.1.2,59.98895503442797,
Gabam,alszo_07,0,6,6,6,,,,,,,,,,,95.16645041259471,None,96.19176830924116,99.19433878816199,u,3.6795174030121416,96.19377244310454,None,99.17678520001937,None,158228,2022_Apr_04_1423,alszo_teszt,2021.1.2,59.98895503442797,
ardul,alszo_08,0,7,7,7,,,,,,,,,,,99.90325264341664,None,100.90842952289385,103.91128224146087,u,3.4772616017144173,100.90828972484451,None,103.89349850744475,None,158228,2022_Apr_04_1423,alszo_teszt,2021.1.2,59.98895503442797,
tarembik,alszo_09,0,8,8,8,,,,,,,,,,,104.4157417814713,None,105.4418583458988,108.44692590611521,u,3.680841985042207,105.44032663281541,None,108.42823091952596,None,158228,2022_Apr_04_1423,alszo_teszt,2021.1.2,59.98895503442797,
