szo,hangfajl,hangok.thisRepN,hangok.thisTrialN,hangok.thisN,hangok.thisIndex,inst_text.started,inst_text.stopped,space_inst.started,space_inst.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,text.started,text.stopped,fx_cross.started,fx_cross.stopped,sound_1.started,sound_1.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,text_2.started,text_2.stopped,kosznojuk.started,kosznojuk.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,Résztvevő kódja,date,expName,psychopyVersion,frameRate,
töminégeveltemérg,alszo_28,0,27,27,27,,,,,,,,,,,331.8522715610452,None,332.88031353242695,335.8891967511736,u,13.959179141558707,332.8968173456378,None,335.8891967511736,None,,,,,,,029724,2022_Mar_19_1527,alszo_teszt,2021.1.2,59.981233481800146,
igyótanumazálubirc,alszo_29,0,28,28,28,,,,,,,,,,,346.88606304861605,None,347.90873269177973,350.9129337067716,u,10.405953785870224,347.906372400932,None,350.8948623579927,None,,,,,,,029724,2022_Mar_19_1527,alszo_teszt,2021.1.2,59.981233481800146,
polankilimapszilógis,alszo_30,0,29,29,29,,,,,,,,,,,358.345488818828,None,359.3756129788235,362.37830094620585,u,6.454514353536069,359.3772083800286,None,362.36025789938867,None,,,,,,,029724,2022_Mar_19_1527,alszo_teszt,2021.1.2,59.981233481800146,
elüsekéketésenim,alszo_31,0,30,30,30,,,,,,,,,,,365.8544196835719,None,366.85853806417435,369.86129386210814,u,9.178540483582765,366.86110694753006,None,369.84380067465827,None,,,,,,,029724,2022_Mar_19_1527,alszo_teszt,2021.1.2,59.981233481800146,
réfjenólpáulatamú,alszo_32,0,31,31,31,,,,,,,,,,,376.0685598468408,None,377.09177281847224,380.0949011715129,u,11.158725009765476,377.088839342352,None,380.0770005658269,None,,,,,,,029724,2022_Mar_19_1527,alszo_teszt,2021.1.2,59.981233481800146,
vanatyfovagyatázólarka,alszo_33,0,32,32,32,,,,,,,,,,,388.2777434983291,None,389.30684040347114,392.31221702322364,u,7.008505719248205,389.3033247226849,None,392.2770434222184,None,,,,,,,029724,2022_Mar_19_1527,alszo_teszt,2021.1.2,59.981233481800146,
ladatobanrapolsazridant,alszo_34,0,33,33,33,,,,,,,,,,,396.349763603881,None,397.37680133478716,400.3779476429336,u,8.75855314778164,397.3767222771421,None,400.36061959993094,None,,,,,,,029724,2022_Mar_19_1527,alszo_teszt,2021.1.2,59.981233481800146,
ninolamebefalintelék,alszo_35,0,34,34,34,,,,,,,,,,,406.1785575891845,None,407.2069404232316,410.2116169668734,u,9.143868225160986,407.21520909294486,None,410.19336772244424,None,,,,,,,029724,2022_Mar_19_1527,alszo_teszt,2021.1.2,59.981233481800146,
szikunblómitílaradiga,alszo_36,0,35,35,35,,,,,,,,,,,416.3960802596994,None,417.4279659613967,420.4482677867636,u,52.562680578324944,417.42792018083856,None,420.40332982316613,None,,,,,,,029724,2022_Mar_19_1527,alszo_teszt,2021.1.2,59.981233481800146,
,,,,,,,,,,,,,,,,,,,,,,,,,,470.0306963501498,None,space,1.1597852311097085,470.0306963501498,None,029724,2022_Mar_19_1527,alszo_teszt,2021.1.2,59.981233481800146,
